2022-09-10_22:45:33		Web Scrapping app started
2022-09-10_22:42:50		Collection is not present in  Mongo
2022-09-10_22:42:50		Got Mongo client object created
2022-09-10_22:42:52		Database is present
2022-09-10_22:42:52		Got Mongo client object created
2022-09-10_22:42:52		Got Database successfully!!
2022-09-10_22:42:54		Collection is not present in  Mongo
2022-09-10_22:42:54		Got Mongo client object created
2022-09-10_22:42:54		Got Database successfully!!
2022-09-10_22:42:54		Got database collection successfully!!
2022-09-10_22:42:57		inserted records from csv to Mongo connection
2022-09-10_22:42:57		inserted records from csv to Mongo connection
2022-09-10_22:42:57		inserted records from csv to Mongo connection
2022-09-10_22:42:57		inserted records from csv to Mongo connection
2022-09-10_22:42:58		inserted records from csv to Mongo connection
2022-09-10_22:42:58		inserted records from csv to Mongo connection
2022-09-10_22:42:58		inserted records from csv to Mongo connection
2022-09-10_22:42:59		inserted records from csv to Mongo connection
2022-09-10_22:42:59		inserted records from csv to Mongo connection
2022-09-10_22:42:59		inserted records from csv to Mongo connection
2022-09-10_22:42:59		inserted records from csv to Mongo connection
2022-09-10_22:43:00		inserted records from csv to Mongo connection
2022-09-10_22:43:00		inserted records from csv to Mongo connection
2022-09-10_22:43:00		inserted records from csv to Mongo connection
2022-09-10_22:43:00		inserted records from csv to Mongo connection
2022-09-10_22:43:00		inserted records from csv to Mongo connection
2022-09-10_22:43:01		inserted records from csv to Mongo connection
2022-09-10_22:43:01		inserted records from csv to Mongo connection
2022-09-10_22:43:01		inserted records from csv to Mongo connection
2022-09-10_22:43:01		inserted records from csv to Mongo connection
2022-09-10_22:43:02		inserted records from csv to Mongo connection
2022-09-10_22:43:02		inserted records from csv to Mongo connection
2022-09-10_22:43:02		inserted records from csv to Mongo connection
2022-09-10_22:43:03		inserted records from csv to Mongo connection
2022-09-10_22:43:03		inserted records from csv to Mongo connection
2022-09-10_22:43:03		inserted records from csv to Mongo connection
2022-09-10_22:43:03		inserted records from csv to Mongo connection
2022-09-10_22:43:03		inserted records from csv to Mongo connection
2022-09-10_22:43:04		inserted records from csv to Mongo connection
2022-09-10_22:43:04		inserted records from csv to Mongo connection
2022-09-10_22:43:04		Got Mongo client object created
2022-09-10_22:43:06		Database is present
2022-09-10_22:43:06		Got Mongo client object created
2022-09-10_22:43:06		Got Database successfully!!
2022-09-10_22:43:09		collection is present in mongo
2022-09-10_22:43:09		Got Mongo client object created
2022-09-10_22:43:09		Got Database successfully!!
2022-09-10_22:43:09		Got database collection successfully!!
2022-09-10_22:43:09		successfully found records to mongo
2022-09-10_22:43:29		Got Mongo client object created
2022-09-10_22:43:31		Database is present
2022-09-10_22:43:31		Got Mongo client object created
2022-09-10_22:43:31		Got Database successfully!!
2022-09-10_22:43:33		Collection is not present in  Mongo
2022-09-10_22:43:33		Got Mongo client object created
2022-09-10_22:43:36		Database is present
2022-09-10_22:43:36		Got Mongo client object created
2022-09-10_22:43:36		Got Database successfully!!
2022-09-10_22:43:38		Collection is not present in  Mongo
2022-09-10_22:43:38		Got Mongo client object created
2022-09-10_22:43:38		Got Database successfully!!
2022-09-10_22:43:38		Got database collection successfully!!
2022-09-10_22:43:41		inserted records from csv to Mongo connection
2022-09-10_22:43:41		inserted records from csv to Mongo connection
2022-09-10_22:43:41		inserted records from csv to Mongo connection
2022-09-10_22:43:42		inserted records from csv to Mongo connection
2022-09-10_22:43:42		inserted records from csv to Mongo connection
2022-09-10_22:43:42		inserted records from csv to Mongo connection
2022-09-10_22:43:42		inserted records from csv to Mongo connection
2022-09-10_22:43:43		inserted records from csv to Mongo connection
2022-09-10_22:43:43		inserted records from csv to Mongo connection
2022-09-10_22:43:43		inserted records from csv to Mongo connection
2022-09-10_22:43:43		inserted records from csv to Mongo connection
2022-09-10_22:43:44		inserted records from csv to Mongo connection
2022-09-10_22:43:44		inserted records from csv to Mongo connection
2022-09-10_22:43:44		inserted records from csv to Mongo connection
2022-09-10_22:43:44		inserted records from csv to Mongo connection
2022-09-10_22:43:44		inserted records from csv to Mongo connection
2022-09-10_22:43:45		inserted records from csv to Mongo connection
2022-09-10_22:43:45		inserted records from csv to Mongo connection
2022-09-10_22:43:45		inserted records from csv to Mongo connection
2022-09-10_22:43:46		inserted records from csv to Mongo connection
2022-09-10_22:43:46		inserted records from csv to Mongo connection
2022-09-10_22:43:46		inserted records from csv to Mongo connection
2022-09-10_22:43:46		inserted records from csv to Mongo connection
2022-09-10_22:43:47		inserted records from csv to Mongo connection
2022-09-10_22:43:47		inserted records from csv to Mongo connection
2022-09-10_22:43:47		inserted records from csv to Mongo connection
2022-09-10_22:43:47		inserted records from csv to Mongo connection
2022-09-10_22:43:48		inserted records from csv to Mongo connection
2022-09-10_22:43:48		inserted records from csv to Mongo connection
